,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
44,2012-04,1318,2532,3337176,3259,5136,16738224,13745,6796,93411020,21153,3072,64982016,1207,3708,4475556,2740,4104,11244960,8656,5120,44318720,19223,3500,67280500,13376,1436,19207936,3304,1972,6515488,13,4580,59540,331571136
43,2012-05,1343,2532,3400476,3274,5136,16815264,13833,6796,94009068,21761,3072,66849792,1198,3708,4442184,2757,4104,11314728,8688,5120,44482560,19300,3500,67550000,14039,1436,20160004,3314,1972,6535208,16,4580,73280,335632564
42,2012-06,1351,2532,3420732,3338,5136,17143968,13958,6796,94858568,22035,3072,67691520,1202,3708,4457016,2828,4104,11606112,8663,5120,44354560,19116,3500,66906000,14829,1436,21294444,3371,1972,6647612,17,4580,77860,338458392
41,2012-07,1227,2552,3131304,3336,4176,13931136,13800,6528,90086400,21383,3012,64405596,1226,3892,4771592,2867,4020,11525340,8346,5540,46236840,18865,3512,66253880,15245,1508,22989460,3351,1992,6675192,9,4172,37548,330044288
40,2012-08,1200,2552,3062400,3352,4176,13997952,13997,6528,91372416,21160,3012,63733920,1200,3892,4670400,2882,4020,11585640,8234,5540,45616360,18741,3512,65818392,15069,1508,22724052,3318,1992,6609456,11,4172,45892,329236880
39,2012-09,1188,2552,3031776,3435,4176,14344560,13839,6528,90340992,21698,3012,65354376,1259,3892,4900028,2809,4020,11292180,8290,5540,45926600,19128,3512,67177536,14305,1508,21571940,3309,1992,6591528,12,4172,50064,330581580
38,2012-10,1111,2504,2781944,3790,4988,18904520,13801,6936,95723736,21772,3280,71412160,1214,3972,4822008,2830,4280,12112400,8393,5676,47638668,19364,3712,71879168,13655,1744,23814320,3377,2036,6875572,5,3204,16020,355980516
37,2012-11,1094,2504,2739376,3369,4988,16804572,13809,6936,95779224,22277,3280,73068560,1221,3972,4849812,2810,4280,12026800,8453,5676,47979228,19363,3712,71875456,13306,1744,23205664,3387,2036,6895932,5,3204,16020,355240644
36,2012-12,1075,2504,2691800,3241,4988,16166108,13996,6936,97076256,22473,3280,73711440,1223,3972,4857756,2817,4280,12056760,8383,5676,47581908,19380,3712,71938560,13094,1744,22835936,3399,2036,6920364,5,3204,16020,355852908
35,2013-01,1017,2452,2493684,3086,4028,12430408,14166,7800,110494800,21271,3396,72236316,1170,3808,4455360,2793,4664,13026552,8129,5916,48091164,19207,3480,66840360,12563,1516,19045508,3291,1968,6476688,10,2848,28480,355619320
34,2013-02,1040,2452,2550080,3121,4028,12571388,14258,7800,111212400,20739,3396,70429644,1165,3808,4436320,2788,4664,13003232,8248,5916,48795168,19128,3480,66565440,12459,1516,18887844,3283,1968,6460944,15,2848,42720,354955180
33,2013-03,1102,2452,2702104,3365,4028,13554220,14313,7800,111641400,20883,3396,70918668,1168,3808,4447744,2796,4664,13040544,8202,5916,48523032,19223,3480,66896040,12848,1516,19477568,3326,1968,6545568,15,2848,42720,357789608
32,2013-04,1294,2616,3385104,3722,4428,16481016,14220,6896,98061120,21271,3156,67131276,1170,3680,4305600,2799,4208,11778192,8274,5244,43388856,19402,3544,68760688,13934,1436,20009224,3385,1972,6675220,8,3168,25344,340001640
31,2013-05,1313,2616,3434808,3606,4428,15967368,14260,6896,98336960,21590,3156,68138040,1170,3680,4305600,2820,4208,11866560,8298,5244,43514712,19461,3544,68969784,14591,1436,20952676,3417,1972,6738324,10,3168,31680,342256512
30,2013-06,1302,2616,3406032,3513,4428,15555564,14356,6896,98998976,21978,3156,69362568,1183,3680,4353440,2876,4208,12102208,8306,5244,43556664,19451,3544,68934344,15348,1436,22039728,3482,1972,6866504,11,3168,34848,345210876
29,2013-07,1204,2684,3231536,3524,4172,14702128,14338,6492,93082296,21459,3008,64548672,1208,3892,4701536,2877,4180,12025860,8190,4988,40851720,19104,3544,67704576,15653,1516,23729948,3470,2020,7009400,16,2644,42304,331629976
28,2013-08,1198,2684,3215432,3581,4172,14939932,14297,6492,92816124,21338,3008,64184704,1192,3892,4639264,2886,4180,12063480,8223,4988,41016324,19082,3544,67626608,15502,1516,23501032,3506,2020,7082120,35,2644,92540,331177560
27,2013-09,1167,2684,3132228,3487,4172,14547764,14206,6492,92225352,21375,3008,64296000,1182,3892,4600344,2840,4180,11871200,8272,4988,41260736,19455,3544,68948520,14704,1516,22291264,3500,2020,7070000,35,2644,92540,330335948
26,2013-10,1134,2808,3184272,3545,4544,16108480,14254,7088,101032352,21395,3212,68720740,1110,3864,4289040,2823,4576,12918048,8348,5636,47049328,19485,3816,74354760,13966,1544,21563504,3520,2096,7377920,33,2644,87252,356685696
25,2013-11,1105,2808,3102840,3493,4544,15872192,14164,7088,100394432,21967,3212,70558004,1111,3864,4292904,2802,4576,12821952,8391,5636,47291676,19484,3816,74350944,13557,1544,20932008,3531,2096,7400976,32,2644,84608,357102536
24,2013-12,1077,2808,3024216,3393,4544,15417792,14094,7088,99898272,22174,3212,71222888,1164,3864,4497696,2814,4576,12876864,8289,5636,46716804,19469,3816,74293704,13353,1544,20617032,3497,2096,7329712,29,2644,76676,355971656
23,2014-01,1039,2656,2759584,3100,4020,12462000,14214,8456,120193584,21059,3548,74717332,1135,4032,4576320,2787,5048,14068776,8188,6032,49390016,19216,3488,67025408,12896,1480,19086080,3416,2060,7036960,36,4080,146880,371462940
22,2014-02,1049,2656,2786144,3171,4020,12747420,14187,8456,119965272,20822,3548,73876456,1123,4032,4527936,2783,5048,14048584,8200,6032,49462400,19124,3488,66704512,12840,1480,19003200,3385,2060,6973100,34,4080,138720,370233744
21,2014-03,1064,2656,2825984,3243,4020,13036860,14250,8456,120498000,20978,3548,74429944,1076,4032,4338432,2763,5048,13947624,8203,6032,49480496,19263,3488,67189344,13189,1480,19519720,3409,2060,7022540,35,4080,142800,372431744
20,2014-04,1292,2728,3524576,3851,4556,17545156,14161,7232,102412352,21321,3216,68568336,1092,3580,3909360,2767,4308,11920236,8466,5136,43481376,19203,3596,69053988,13929,1484,20670636,3546,2008,7120368,34,5216,177344,348383728
19,2014-05,1308,2728,3568224,3617,4556,16479052,14136,7232,102231552,21594,3216,69446304,1099,3580,3934420,2812,4308,12114096,8451,5136,43404336,19384,3596,69704864,14614,1484,21687176,3541,2008,7110328,33,5216,172128,349852480
18,2014-06,1311,2728,3576408,3710,4556,16902760,14246,7232,103027072,21925,3216,70510800,1117,3580,3998860,2722,4308,11726376,8565,5136,43989840,19211,3596,69082756,15383,1484,22828372,3637,2008,7303096,37,5216,192992,353139332
17,2014-07,1236,2836,3505296,3774,4232,15971568,14248,6832,97342336,21421,3056,65462576,1115,3736,4165640,2739,4324,11843436,8553,5076,43415028,19129,3680,70394720,15816,1548,24483168,3687,2008,7403496,32,4740,151680,344138944
16,2014-08,1213,2836,3440068,3867,4232,16365144,14322,6832,97847904,21301,3056,65095856,1094,3736,4087184,2752,4324,11899648,8534,5076,43318584,19015,3680,69975200,15755,1548,24388740,3644,2008,7317152,30,4740,142200,343877680
15,2014-09,1187,2836,3366332,3867,4232,16365144,14144,6832,96631808,21393,3056,65377008,1069,3736,3993784,2703,4324,11687772,8402,5076,42648552,19396,3680,71377280,14823,1548,22946004,3574,2008,7176592,33,4740,156420,341726696
14,2014-10,1134,3036,3442824,4221,5104,21543984,14118,7272,102666096,21474,3448,74042352,1055,4020,4241100,2701,4760,12856760,8419,5812,48931228,19541,3936,76913376,14181,1596,22632876,3557,2380,8465660,30,5472,164160,375900416
13,2014-11,1101,3036,3342636,3662,5104,18690848,14197,7272,103240584,21986,3448,75807728,1058,4020,4253160,2672,4760,12718720,8385,5812,48733620,19604,3936,77161344,13607,1596,21716772,3493,2380,8313340,35,5472,191520,374170272
12,2014-12,1070,3036,3248520,3555,5104,18144720,14278,7272,103829616,22251,3448,76721448,1064,4020,4277280,2654,4760,12633040,8415,5812,48907980,19752,3936,77743872,13389,1596,21368844,3510,2380,8353800,36,5472,196992,375426112
11,2015-01,1030,2808,2892240,3521,4072,14337512,14384,8532,122724288,21087,3528,74394936,1027,3588,3684876,2677,5268,14102436,8097,6152,49812744,19209,3452,66309468,12899,1516,19554884,3422,1992,6816624,32,4684,149888,374779896
10,2015-02,1031,2808,2895048,3458,4072,14080976,14419,8532,123022908,20673,3528,72934344,1008,3588,3616704,2651,5268,13965468,8164,6152,50224928,19151,3452,66109252,12774,1516,19365384,3478,1992,6928176,28,4684,131152,373274340
9,2015-03,1060,2808,2976480,3504,4072,14268288,14496,8532,123679872,20712,3528,73071936,1004,3588,3602352,2681,5268,14123508,8230,6152,50630960,19218,3452,66340536,13134,1516,19911144,3487,1992,6946104,30,4684,140520,375691700
8,2015-04,1333,2784,3711072,3642,4336,15791712,14601,6928,101155728,20890,3140,65594600,1010,3700,3737000,2680,4452,11931360,8422,4996,42076312,19220,3636,69883920,13937,1512,21072744,3583,2024,7251992,12,5624,67488,342273928
7,2015-05,1382,2784,3847488,3755,4336,16281680,14601,6928,101155728,22024,3140,69155360,1006,3700,3722200,2724,4452,12127248,8507,4996,42500972,19351,3636,70360236,14874,1512,22489488,3620,2024,7326880,13,5624,73112,349040392
6,2015-06,1358,2784,3780672,3778,4336,16381408,14933,6928,103455824,22508,3140,70675120,1021,3700,3777700,2752,4452,12251904,8495,4996,42441020,19210,3636,69847560,15626,1512,23626512,3655,2024,7397720,17,5624,95608,353731048
5,2015-07,1219,3152,3842288,3661,4592,16811312,15270,6428,98155560,21944,3128,68640832,1018,3820,3888760,2762,4488,12395856,7826,5276,41289976,18854,3700,69759800,15812,1644,25994928,3549,2048,7268352,22,4752,104544,348152208
4,2015-08,1200,3152,3782400,3662,4592,16815904,15317,6428,98457676,21897,3128,68493816,1010,3820,3858200,2788,4488,12512544,7796,5276,41131696,18734,3700,69315800,15893,1644,26128092,3583,2048,7337984,25,4752,118800,347952912
3,2015-09,1181,3152,3722512,3775,4592,17334800,15329,6428,98534812,21806,3128,68209168,1002,3820,3827640,2743,4488,12310584,8367,5276,44144292,18981,3700,70229700,15049,1644,24740556,3566,2048,7303168,25,4752,118800,350476032
2,2015-10,1071,3576,3829896,4144,5348,22162112,15348,7164,109953072,21889,3512,76874168,1021,4088,4173848,2706,5124,13865544,8428,5808,48949824,19168,4124,79048832,14779,1720,25419880,3529,2244,7919076,9,5392,48528,392244780
1,2015-11,1027,3576,3672552,3768,5348,20151264,15339,7164,109888596,22474,3512,78928688,1030,4088,4210640,2693,5124,13798932,8468,5808,49182144,19127,4124,78879748,14182,1720,24393040,3564,2244,7997616,10,5392,53920,391157140
0,2015-12,945,3576,3379320,3669,5348,19621812,15445,7164,110647980,22758,3512,79926096,1037,4088,4239256,2701,5124,13839924,8529,5808,49536432,19242,4124,79354008,13783,1720,23706760,3582,2244,8038008,13,5392,70096,392359692
