,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
39,2012-09,1065,2456,2615640,12515,4372,54715580,32625,4796,156469500,64163,3064,196595432,5663,5152,29175776,16016,4848,77645568,38908,4580,178198640,92372,4220,389809840,30995,1336,41409320,13088,2160,28270080,99,2164,214236,1155119612
38,2012-10,953,3452,3289756,12376,4996,61830496,32670,5764,188309880,65096,3288,214035648,5588,5352,29906976,15886,5292,84068712,38467,5384,207106328,93188,4280,398844640,30285,1416,42883560,13215,2296,30341640,93,1740,161820,1260779456
37,2012-11,994,3452,3431288,12311,4996,61505756,32543,5764,187577852,67151,3288,220792488,5588,5352,29906976,15909,5292,84190428,38563,5384,207623192,93260,4280,399152800,30260,1416,42848160,13156,2296,30206176,83,1740,144420,1267379536
36,2012-12,835,3452,2882420,11973,4996,59817108,32642,5764,188148488,67557,3288,222127416,5580,5352,29864160,15998,5292,84661416,39110,5384,210568240,93428,4280,399871840,30479,1416,43158264,13271,2296,30470216,83,1740,144420,1271713988
35,2013-01,701,2520,1766520,10963,4448,48763424,32555,5328,173453040,64944,3100,201326400,5682,5976,33955632,15903,5848,93000744,37825,5400,204255000,92201,4140,381712140,28285,1320,37336200,12715,2172,27616980,86,2004,172344,1203358424
34,2013-02,688,2520,1733760,10683,4448,47517984,32580,5328,173586240,63406,3100,196558600,5647,5976,33746472,15793,5848,92357464,38124,5400,205869600,92645,4140,383550300,27926,1320,36862320,12734,2172,27658248,91,2004,182364,1199623352
33,2013-03,792,2520,1995840,10920,4448,48572160,32670,5328,174065760,63965,3100,198291500,5649,5976,33758424,15813,5848,92474424,38262,5400,206614800,93204,4140,385864560,29180,1320,38517600,12977,2172,28186044,93,2004,186372,1208527484
32,2013-04,1013,2748,2783724,11809,4404,52006836,32629,4908,160143132,64981,3032,197022392,5547,5256,29155032,15773,4908,77413884,38686,4876,188632936,93508,4112,384504896,30891,1320,40776120,13178,2224,29307872,82,3192,261744,1162008568
31,2013-05,1063,2748,2921124,12263,4404,54006252,32619,4908,160094052,65449,3032,198441368,5540,5256,29118240,15859,4908,77835972,38683,4876,188618308,93454,4112,384282848,32062,1320,42321840,13298,2224,29574752,90,3192,287280,1167502036
30,2013-06,1058,2748,2907384,12642,4404,55675368,32800,4908,160982400,65917,3032,199860344,5580,5256,29328480,16094,4908,78989352,39202,4876,191148952,92824,4112,381692288,33029,1320,43598280,13431,2224,29870544,101,3192,322392,1174375784
29,2013-07,1127,2348,2646196,13011,4468,58133148,32862,4732,155502984,64792,3088,200077696,5537,5372,29744764,16150,5032,81266800,39372,4708,185363376,92196,4304,396811584,32918,1336,43978448,13473,2192,29532816,71,3652,259292,1183317104
28,2013-08,1111,2348,2608628,13166,4468,58825688,32826,4732,155332632,65136,3088,201139968,5498,5372,29535256,16176,5032,81397632,39400,4708,185495200,91945,4304,395731280,32835,1336,43867560,13475,2192,29537200,71,3652,259292,1183730336
27,2013-09,1100,2348,2582800,12988,4468,58030384,32693,4732,154703276,65273,3088,201563024,5437,5372,29207564,16069,5032,80859208,38732,4708,182350256,93537,4304,402583248,31918,1336,42642448,13145,2192,28813840,80,3652,292160,1183628208
26,2013-10,987,2912,2874144,12758,5092,64963736,32970,6320,208370400,65871,3276,215793396,5490,5420,29755800,16050,5300,85065000,39125,5292,207049500,94353,4212,397414836,31519,1400,44126600,13103,2352,30818256,62,3476,215512,1286447180
25,2013-11,1085,2912,3159520,12636,5092,64342512,32688,6320,206588160,67641,3276,221591916,5493,5420,29772060,15995,5300,84773500,39177,5292,207324684,94620,4212,398539440,31310,1400,43834000,13153,2352,30935856,63,3476,218988,1291080636
24,2013-12,955,2912,2780960,12135,5092,61791420,32741,6320,206923120,68240,3276,223554240,5600,5420,30352000,16041,5300,85017300,38999,5292,206382708,94193,4212,396740916,30829,1400,43160600,13233,2352,31124016,73,3476,253748,1288081028
23,2014-01,754,2484,1872936,11267,4344,48943848,31100,4724,146916400,65344,3136,204918784,5362,6184,33158608,16064,6148,98761472,39048,6132,239442336,93871,4192,393507232,29381,1320,38782920,12982,2152,27937264,63,4124,259812,1234501612
22,2014-02,720,2484,1788480,11191,4344,48613704,31003,4724,146458172,64200,3136,201331200,5301,6184,32781384,16063,6148,98755324,39364,6132,241380048,93162,4192,390535104,29278,1320,38646960,12998,2152,27971696,81,4124,334044,1228596116
21,2014-03,794,2484,1972296,11336,4344,49243584,30993,4724,146410932,64569,3136,202488384,5231,6184,32348504,16028,6148,98540144,39397,6132,241582404,93526,4192,392060992,30169,1320,39823080,13133,2152,28262216,88,4124,362912,1233095448
20,2014-04,1081,2780,3005180,12206,4512,55073472,30975,4740,146821500,65333,3104,202793632,5256,5248,27583488,16146,4884,78857064,40091,5108,204784828,94117,4172,392656124,31008,1356,42046848,13259,2216,29381944,62,5944,368528,1183372608
19,2014-05,1149,2780,3194220,12851,4512,57983712,30899,4740,146461260,65903,3104,204562912,5263,5248,27620224,16232,4884,79277088,40509,5108,206919972,94200,4172,393002400,32013,1356,43409628,13471,2216,29851736,66,5944,392304,1192675456
18,2014-06,1113,2780,3094140,13172,4512,59432064,31054,4740,147195960,66254,3104,205652416,5272,5248,27667456,16490,4884,80537160,40767,5108,208237836,93684,4172,390849648,32951,1356,44681556,13717,2216,30396872,68,5944,404192,1198149300
17,2014-07,1151,2504,2882104,13515,4612,62331180,31102,4576,142322752,65279,3164,206542756,5287,5444,28782428,16508,4992,82407936,40771,5004,204018084,92929,4364,405542156,32587,1384,45100408,14099,2184,30792216,77,4808,370216,1211092236
16,2014-08,1116,2504,2794464,13585,4612,62654020,30933,4576,141549408,65245,3164,206435180,5164,5444,28112816,16477,4992,82253184,40543,5004,202877172,92635,4364,404259140,32427,1384,44878968,13905,2184,30368520,81,4808,389448,1206572320
15,2014-09,1093,2504,2736872,13464,4612,62095968,30857,4576,141201632,65507,3164,207264148,5057,5444,27530308,16324,4992,81489408,40274,5004,201531096,94598,4364,412825672,31852,1384,44083168,13550,2184,29593200,81,4808,389448,1210740920
14,2014-10,1023,3112,3183576,13297,5328,70846416,30841,5712,176163792,66264,3376,223707264,4798,5792,27790016,16269,5432,88373208,41024,5932,243354368,95485,4580,437321300,31393,1444,45331492,13579,2368,32155072,79,4992,394368,1348620872
13,2014-11,1099,3112,3420088,13168,5328,70159104,30592,5712,174741504,68154,3376,230087904,4727,5792,27378784,16280,5432,88432960,41220,5932,244517040,95698,4580,438296840,31200,1444,45052800,13447,2368,31842496,78,4992,389376,1354318896
12,2014-12,940,3112,2925280,12846,5328,68443488,30645,5712,175044240,68910,3376,232640160,4712,5792,27291904,16412,5432,89149984,41520,5932,246296640,95375,4580,436817500,31162,1444,44997928,13571,2368,32136128,80,4992,399360,1356142612
11,2015-01,739,2540,1877060,12003,4372,52477116,30579,4732,144699828,65865,3136,206552640,4641,6256,29034096,16367,6204,101540868,39456,6472,255359232,94151,4092,385265892,29466,1348,39720168,13441,2140,28763740,91,3844,349804,1245640444
10,2015-02,722,2540,1833880,11710,4372,51196120,30442,4732,144051544,64454,3136,202127744,4628,6256,28952768,16238,6204,100740552,39849,6472,257902728,94006,4092,384672552,29421,1348,39659508,13425,2140,28729500,96,3844,369024,1240235920
9,2015-03,793,2540,2014220,11828,4372,51712016,30404,4732,143871728,64914,3136,203570304,4655,6256,29121680,16253,6204,100833612,39850,6472,257909200,94058,4092,384885336,29999,1348,40438652,13594,2140,29091160,94,3844,361336,1243809244
8,2015-04,1088,2904,3159552,12909,4636,59846124,30448,4688,142740224,65016,3224,209611584,4596,5564,25572144,16338,5048,82474224,40480,5256,212762880,94438,4248,401172624,30827,1416,43651032,13638,2284,31149192,62,3456,214272,1212353852
7,2015-05,1154,2904,3351216,13504,4636,62604544,30506,4688,143012128,65965,3224,212671160,4626,5564,25739064,16449,5048,83034552,40579,5256,213283224,94709,4248,402323832,32184,1416,45572544,13948,2284,31857232,62,3456,214272,1223663768
6,2015-06,1116,2904,3240864,13864,4636,64273504,30718,4688,144005984,66510,3224,214428240,4638,5564,25805832,16598,5048,83786704,40874,5256,214833744,94194,4248,400136112,33306,1416,47161296,14183,2284,32393972,64,3456,221184,1230287436
5,2015-07,1058,2884,3051272,13950,4888,68187600,30574,4668,142719432,65037,3316,215662692,4616,5792,26735872,16566,5220,86474520,40364,5296,213767744,93665,4452,416996580,32708,1464,47884512,14243,2236,31847348,81,4316,349596,1253677168
4,2015-08,1051,2884,3031084,13996,4888,68412448,30469,4668,142229292,64871,3316,215112236,4592,5792,26596864,16590,5220,86599800,40431,5296,214122576,93138,4452,414650376,32426,1464,47471664,14219,2236,31793684,77,4316,332332,1250352356
3,2015-09,1007,2884,2904188,13871,4888,67801448,30302,4668,141449736,65457,3316,217055412,4564,5792,26434688,16401,5220,85613220,40223,5296,213021008,94611,4452,421208172,31695,1464,46401480,14130,2236,31594680,86,4316,371176,1253855208
2,2015-10,1015,3652,3706780,13978,5692,79562776,30114,5572,167795208,66776,3564,237989664,4341,5876,25507716,16338,5872,95936736,40790,6264,255508560,95851,4696,450116296,31402,1576,49489552,13837,2484,34371108,65,4956,322140,1400306536
1,2015-11,1005,3652,3670260,13857,5692,78874044,30139,5572,167934508,69076,3564,246186864,4340,5876,25501840,16309,5872,95766448,40703,6264,254963592,96142,4696,451482832,31160,1576,49108160,13737,2484,34122708,71,4956,351876,1407963132
0,2015-12,811,3652,2961772,13587,5692,77337204,30219,5572,168380268,69467,3564,247580388,4364,5876,25642864,16316,5872,95807552,40872,6264,256022208,96270,4696,452083920,31224,1576,49209024,13891,2484,34505244,73,4956,361788,1409892232
