Date,Time (GMT),Verified (ft),Verified (ft) Max
2010-02-14,12:24,2.04,2.04
2010-02-14,19:00,-2.1,-2.1
2010-02-15,00:30,1.46,1.46
2010-02-15,07:00,-2.53,-2.53
2010-02-15,13:30,1.83,1.83
2010-02-15,19:18,-2.26,-2.26
2010-02-16,01:18,1.84,1.84
2010-02-16,07:12,-1.68,-1.68
2010-02-16,13:36,2.83,2.83
2010-02-16,20:06,-1.86,-1.86
2010-02-17,01:42,1.68,1.68
2010-02-17,07:48,-1.89,-1.89
2010-02-17,14:12,2.04,2.04
2010-02-17,20:12,-2.01,-2.01
2010-02-18,02:12,1.99,1.99
2010-02-18,08:42,-1.81,-1.81
2010-02-18,14:30,1.74,1.74
2010-02-18,20:36,-2.05,-2.05
2010-02-19,02:48,1.74,1.74
2010-02-19,09:30,-1.93,-1.93
2010-02-19,15:24,0.96,0.96
2010-02-19,21:00,-2.59,-2.59
2010-02-20,04:00,1.33,1.33
2010-02-20,09:54,-1.83,-1.83
2010-02-20,16:00,1.38,1.38
2010-02-20,21:54,-1.63,-1.63
2010-02-21,04:18,1.71,1.71
2010-02-21,10:54,-1.64,-1.64
2010-02-21,17:18,0.82,0.82
2010-02-21,22:36,-1.85,-1.85
2010-02-22,05:24,1.86,1.86
2010-02-22,11:48,-1.08,-1.08
2010-02-22,17:48,1.4,1.4
2010-02-22,23:54,-1.02,-1.02
2010-02-23,06:48,3.04,3.04
2010-02-23,13:00,0.07,0.07
2010-02-23,19:12,2.44,2.44
2010-02-24,01:18,-0.33,-0.33
2010-02-24,08:00,3.44,3.44
2010-02-24,14:54,-0.21,-0.21
2010-02-24,20:24,2.34,2.34
2010-02-25,02:18,-0.78,-0.78
2010-02-25,08:48,3.49,3.49
2010-02-25,15:18,-0.76,-0.76
2010-02-25,21:30,2.58,2.58
2010-02-26,03:24,-1.92,-1.92
2010-02-26,10:00,2.43,2.43
2010-02-26,16:06,-2.7,-2.7
2010-02-26,22:54,2.51,2.51
2010-02-27,04:30,-1.83,-1.83
2010-02-27,10:48,3.66,3.66
2010-02-27,17:18,-2.09,-2.09
2010-02-27,23:12,3.13,3.13
2010-02-28,05:24,-2.12,-2.12
2010-02-28,11:36,3.85,3.85
2010-02-28,18:00,-2.2,-2.2
2010-03-01,00:06,3.41,3.41
2010-03-01,06:24,-2.76,-2.76
2010-03-01,12:18,2.85,2.85
2010-03-01,19:00,-3.3,-3.3
2010-03-02,01:12,3.36,3.36
2010-03-02,07:06,-2.15,-2.15
2010-03-02,13:12,3.89,3.89
2010-03-02,19:36,-2.31,-2.31
2010-03-03,01:48,3.75,3.75
2010-03-03,08:00,-1.56,-1.56
2010-03-03,14:12,4.55,4.55
2010-03-03,20:30,-0.82,-0.82
2010-03-04,02:42,4.59,4.59
2010-03-04,09:12,-1.05,-1.05
2010-03-04,15:06,3.34,3.34
2010-03-04,21:00,-1.08,-1.08
2010-03-05,03:24,3.74,3.74
2010-03-05,09:48,-1.1,-1.1
2010-03-05,16:00,2.77,2.77
2010-03-05,21:54,-0.66,-0.66
2010-03-06,04:12,3.44,3.44
2010-03-06,10:42,-0.86,-0.86
2010-03-06,16:54,2.24,2.24
2010-03-06,22:54,-0.93,-0.93
2010-03-07,05:00,2.45,2.45
2010-03-07,11:36,-1.26,-1.26
2010-03-07,17:42,1.4,1.4
2010-03-07,23:48,-1.14,-1.14
2010-03-08,06:18,2.1,2.1
2010-03-08,12:36,-0.97,-0.97
2010-03-08,18:24,1.21,1.21
2010-03-09,01:06,-1.02,-1.02
2010-03-09,07:18,2,2.0
2010-03-09,13:48,-0.88,-0.88
2010-03-09,19:48,0.9,0.9
2010-03-10,01:54,-1.16,-1.16
2010-03-10,08:12,2.03,2.03
2010-03-10,15:12,-0.99,-0.99
2010-03-10,21:18,1.32,1.32
2010-03-11,02:42,-1.02,-1.02
2010-03-11,09:00,2.26,2.26
2010-03-11,15:54,-1.26,-1.26
2010-03-11,22:00,1.55,1.55
2010-03-12,03:24,-1.05,-1.05
2010-03-12,10:06,2.65,2.65
2010-03-12,16:24,-0.9,-0.9
2010-03-12,22:30,2.64,2.64
2010-03-13,04:12,-0.21,-0.21
2010-03-13,11:18,4.31,4.31
2010-03-13,18:12,0.74,0.74
2010-03-13,23:54,4.21,4.21
2010-03-14,05:36,0.25,0.25
2010-03-14,11:42,3.52,3.52
2010-03-14,17:48,-0.55,-0.55
2010-03-14,23:42,3.01,3.01
2010-03-15,05:42,-0.81,-0.81
2010-03-15,12:18,3.33,3.33
2010-03-15,18:06,-0.67,-0.67
2010-03-16,00:24,3.6,3.6
2010-03-16,06:42,-0.36,-0.36
2010-03-16,12:30,3.65,3.65
2010-03-16,18:36,-0.54,-0.54
2010-03-17,00:36,3.6,3.6
2010-03-17,07:00,-0.91,-0.91
2010-03-17,13:00,2.81,2.81
2010-03-17,19:12,-1.74,-1.74
2010-03-18,01:18,2.4,2.4
2010-03-18,07:30,-2.05,-2.05
2010-03-18,13:30,1.99,1.99
2010-03-18,19:30,-1.75,-1.75
2010-03-19,01:54,2.61,2.61
2010-03-19,08:06,-1.67,-1.67
2010-03-19,14:18,2.12,2.12
2010-03-19,20:06,-1.66,-1.66
2010-03-20,02:30,2.75,2.75
2010-03-20,09:12,-1.48,-1.48
2010-03-20,14:42,1.76,1.76
2010-03-20,20:42,-1.71,-1.71
2010-03-21,03:12,2.44,2.44
2010-03-21,09:48,-1.68,-1.68
2010-03-21,15:42,1.42,1.42
2010-03-21,21:18,-1.49,-1.49
2010-03-22,04:06,2.48,2.48
2010-03-22,10:24,-1.21,-1.21
2010-03-22,16:36,1.57,1.57
2010-03-22,22:36,-0.89,-0.89
2010-03-23,05:06,2.82,2.82
2010-03-23,11:42,-0.8,-0.8
2010-03-23,18:00,1.81,1.81
2010-03-23,23:48,-0.93,-0.93
2010-03-24,05:54,2.24,2.24
2010-03-24,13:12,-1.51,-1.51
2010-03-24,19:24,0.86,0.86
2010-03-25,00:42,-1.66,-1.66
2010-03-25,07:30,2.54,2.54
2010-03-25,14:18,-1.3,-1.3
2010-03-25,20:18,1.54,1.54
2010-03-26,02:06,-1.9,-1.9
2010-03-26,08:30,2.59,2.59
2010-03-26,14:48,-1.78,-1.78
2010-03-26,20:48,2.96,2.96
2010-03-27,03:18,-1.09,-1.09
2010-03-27,09:36,3.64,3.64
2010-03-27,16:06,-1.39,-1.39
2010-03-27,22:18,3.28,3.28
2010-03-28,04:18,-1.84,-1.84
2010-03-28,10:36,3.22,3.22
2010-03-28,16:48,-2.08,-2.08
2010-03-28,22:54,3.49,3.49
2010-03-29,04:48,-1.79,-1.79
2010-03-29,10:54,3.17,3.17
2010-03-29,17:48,-2.04,-2.04
2010-03-29,23:42,3.74,3.74
2010-03-30,06:00,-1.85,-1.85
2010-03-30,12:06,3.67,3.67
2010-03-30,18:30,-1.94,-1.94
2010-03-31,00:42,3.86,3.86
2010-03-31,06:54,-2.26,-2.26
2010-03-31,13:06,3.23,3.23
2010-03-31,19:00,-1.9,-1.9
2010-04-01,01:30,3.84,3.84
2010-04-01,07:42,-1.97,-1.97
2010-04-01,13:42,2.77,2.77
2010-04-01,19:48,-2.04,-2.04
2010-04-02,02:24,3.52,3.52
2010-04-02,08:36,-1.67,-1.67
2010-04-02,14:24,2.42,2.42
2010-04-02,20:30,-1.77,-1.77
2010-04-03,03:00,3.07,3.07
2010-04-03,09:30,-1.74,-1.74
2010-04-03,15:30,1.82,1.82
2010-04-03,21:12,-1.53,-1.53
2010-04-04,03:48,2.61,2.61
2010-04-04,10:36,-1.61,-1.61
2010-04-04,16:24,1.47,1.47
2010-04-04,22:12,-1.24,-1.24
2010-04-05,04:24,2.27,2.27
2010-04-05,11:06,-1.44,-1.44
2010-04-05,17:18,1.23,1.23
2010-04-05,23:18,-0.88,-0.88
2010-04-06,05:36,2.2,2.2
2010-04-06,12:18,-1.02,-1.02
2010-04-06,18:12,1.24,1.24
2010-04-07,00:30,-0.83,-0.83
2010-04-07,06:36,2.02,2.02
2010-04-07,13:36,-0.98,-0.98
2010-04-07,19:30,1.14,1.14
2010-04-08,01:24,-0.87,-0.87
2010-04-08,07:48,1.94,1.94
2010-04-08,14:24,-1.12,-1.12
2010-04-08,20:24,1.32,1.32
2010-04-09,02:18,-0.76,-0.76
2010-04-09,08:30,2.18,2.18
2010-04-09,15:18,-1,-1.0
2010-04-09,21:00,1.91,1.91
2010-04-10,02:48,-1.28,-1.28
2010-04-10,09:12,1.82,1.82
2010-04-10,15:48,-1.93,-1.93
2010-04-10,21:48,1.42,1.42
2010-04-11,04:00,-1.95,-1.95
2010-04-11,10:00,1.42,1.42
2010-04-11,16:12,-2.36,-2.36
2010-04-11,22:24,1.34,1.34
2010-04-12,04:42,-2.18,-2.18
2010-04-12,11:00,1.85,1.85
2010-04-12,16:54,-1.86,-1.86
2010-04-12,22:54,2.09,2.09
2010-04-13,05:12,-1.97,-1.97
2010-04-13,11:30,1.93,1.93
2010-04-13,17:36,-2.01,-2.01
2010-04-13,23:36,2.31,2.31
2010-04-14,06:00,-2.27,-2.27
2010-04-14,12:12,1.72,1.72
2010-04-14,18:00,-2.21,-2.21
2010-04-15,00:06,2.26,2.26
2010-04-15,06:42,-2.63,-2.63
2010-04-15,12:54,1.39,1.39
2010-04-15,18:18,-2.22,-2.22
2010-04-16,01:00,2.71,2.71
2010-04-16,07:18,-1.73,-1.73
2010-04-16,13:36,2.37,2.37
2010-04-16,19:18,-1.2,-1.2
2010-04-17,01:12,3.53,3.53
2010-04-17,08:06,-1.11,-1.11
2010-04-17,14:12,2.48,2.48
2010-04-17,19:54,-1.11,-1.11
2010-04-18,02:06,3.19,3.19
2010-04-18,09:00,-1.47,-1.47
2010-04-18,14:54,2.03,2.03
2010-04-18,20:54,-1.42,-1.42
2010-04-19,02:54,2.82,2.82
2010-04-19,09:42,-1.68,-1.68
2010-04-19,15:42,1.95,1.95
2010-04-19,21:42,-1.21,-1.21
2010-04-20,04:00,2.68,2.68
2010-04-20,10:24,-1.7,-1.7
2010-04-20,16:36,1.48,1.48
2010-04-20,22:24,-1.33,-1.33
2010-04-21,04:54,2.72,2.72
2010-04-21,11:30,-1.47,-1.47
2010-04-21,17:42,1.68,1.68
2010-04-21,23:36,-1.22,-1.22
2010-04-22,06:06,2.76,2.76
2010-04-22,12:24,-1.16,-1.16
2010-04-22,19:00,2.08,2.08
2010-04-23,00:54,-1.26,-1.26
2010-04-23,06:48,2.71,2.71
2010-04-23,13:36,-1.57,-1.57
2010-04-23,20:06,2.22,2.22
2010-04-24,02:00,-1.49,-1.49
2010-04-24,08:30,2.6,2.6
2010-04-24,14:54,-1.72,-1.72
2010-04-24,20:48,2.69,2.69
2010-04-25,03:18,-1.7,-1.7
2010-04-25,09:24,3.09,3.09
2010-04-25,15:30,-1.68,-1.68
2010-04-25,22:00,3.53,3.53
2010-04-26,04:36,-1.05,-1.05
2010-04-26,09:42,3.73,3.73
2010-04-26,16:18,-1.08,-1.08
2010-04-26,22:36,4.49,4.49
2010-04-27,05:00,-1.24,-1.24
2010-04-27,11:30,3.65,3.65
2010-04-27,17:12,-1.15,-1.15
2010-04-27,23:30,4.11,4.11
2010-04-28,05:36,-1.78,-1.78
2010-04-28,11:54,2.64,2.64
2010-04-28,18:06,-2.49,-2.49
2010-04-29,00:30,3.49,3.49
2010-04-29,06:36,-2.56,-2.56
2010-04-29,13:06,1.9,1.9
2010-04-29,18:48,-2.41,-2.41
2010-04-30,01:06,3.16,3.16
2010-04-30,07:30,-2.36,-2.36
2010-04-30,13:54,2.23,2.23
2010-04-30,19:24,-1.82,-1.82
2010-05-01,01:54,3.16,3.16
2010-05-01,08:12,-2.19,-2.19
2010-05-01,14:24,1.92,1.92
2010-05-01,20:06,-1.47,-1.47
2010-05-02,02:36,3.27,3.27
2010-05-02,09:06,-1.58,-1.58
2010-05-02,14:54,1.63,1.63
2010-05-02,20:54,-1.44,-1.44
2010-05-03,03:30,2.74,2.74
2010-05-03,10:12,-1.71,-1.71
2010-05-03,16:12,1.25,1.25
2010-05-03,21:54,-1.34,-1.34
2010-05-04,04:00,2.33,2.33
2010-05-04,10:30,-1.37,-1.37
2010-05-04,16:48,1.39,1.39
2010-05-04,22:30,-0.85,-0.85
2010-05-05,05:00,2.17,2.17
2010-05-05,11:24,-1.3,-1.3
2010-05-05,17:36,1,1.0
2010-05-05,23:36,-0.82,-0.82
2010-05-06,05:48,1.85,1.85
2010-05-06,12:24,-1.28,-1.28
2010-05-06,18:48,1.02,1.02
2010-05-07,00:24,-0.94,-0.94
2010-05-07,06:24,1.67,1.67
2010-05-07,13:30,-1.34,-1.34
2010-05-07,19:12,1.12,1.12
2010-05-08,01:12,-1.04,-1.04
2010-05-08,07:48,1.71,1.71
2010-05-08,14:18,-1.42,-1.42
2010-05-08,19:48,1.35,1.35
2010-05-09,02:18,-1.39,-1.39
2010-05-09,08:24,0.93,0.93
2010-05-09,14:54,-2.27,-2.27
2010-05-09,20:54,0.93,0.93
2010-05-10,02:54,-2.03,-2.03
2010-05-10,09:18,0.92,0.92
2010-05-10,15:12,-2.09,-2.09
2010-05-10,21:42,1.78,1.78
2010-05-11,04:06,-1.82,-1.82
2010-05-11,10:18,1.55,1.55
2010-05-11,16:06,-1.9,-1.9
2010-05-11,22:48,2.16,2.16
2010-05-12,04:48,-1.69,-1.69
2010-05-12,10:24,1.65,1.65
2010-05-12,16:48,-1.74,-1.74
2010-05-12,23:06,2.87,2.87
2010-05-13,05:18,-1.64,-1.64
2010-05-13,11:36,1.69,1.69
2010-05-13,17:12,-2.27,-2.27
2010-05-13,23:36,2.71,2.71
2010-05-14,06:30,-2.66,-2.66
2010-05-14,11:24,1.13,1.13
2010-05-14,17:48,-2.35,-2.35
2010-05-15,00:36,2.96,2.96
2010-05-15,06:54,-2.23,-2.23
2010-05-15,13:00,1.74,1.74
2010-05-15,18:48,-2.1,-2.1
2010-05-16,01:18,3.08,3.08
2010-05-16,07:54,-2.35,-2.35
2010-05-16,14:06,1.71,1.71
2010-05-16,19:48,-1.97,-1.97
2010-05-17,01:24,3.04,3.04
2010-05-17,08:36,-2.25,-2.25
2010-05-17,14:42,1.6,1.6
2010-05-17,20:18,-2.1,-2.1
2010-05-18,02:42,2.95,2.95
2010-05-18,09:48,-1.55,-1.55
2010-05-18,16:00,2.76,2.76
2010-05-18,21:30,-0.95,-0.95
2010-05-19,03:48,3.86,3.86
2010-05-19,10:24,-1.14,-1.14
2010-05-19,16:42,2.42,2.42
2010-05-19,22:24,-1.41,-1.41
2010-05-20,04:36,2.73,2.73
2010-05-20,11:24,-1.74,-1.74
2010-05-20,17:42,2.05,2.05
2010-05-20,23:30,-1.42,-1.42
2010-05-21,05:48,2.46,2.46
2010-05-21,12:24,-1.98,-1.98
2010-05-21,18:36,2.08,2.08
2010-05-22,00:36,-1.54,-1.54
2010-05-22,06:48,2.45,2.45
2010-05-22,13:24,-1.78,-1.78
2010-05-22,19:36,2.5,2.5
2010-05-23,01:42,-1.5,-1.5
2010-05-23,07:54,2.39,2.39
2010-05-23,14:30,-1.74,-1.74
2010-05-23,20:42,2.89,2.89
2010-05-24,02:48,-1.56,-1.56
2010-05-24,09:00,2.14,2.14
2010-05-24,15:06,-2.14,-2.14
2010-05-24,21:42,2.87,2.87
2010-05-25,04:00,-1.98,-1.98
2010-05-25,09:42,1.94,1.94
2010-05-25,15:54,-2.06,-2.06
2010-05-25,22:30,3.06,3.06
2010-05-26,04:48,-2.12,-2.12
2010-05-26,10:54,1.98,1.98
2010-05-26,16:48,-2.03,-2.03
2010-05-26,23:30,3.29,3.29
2010-05-27,05:30,-1.9,-1.9
2010-05-27,11:36,2.41,2.41
2010-05-27,17:36,-1.19,-1.19
2010-05-27,23:48,4.17,4.17
2010-05-28,06:42,-1.82,-1.82
2010-05-28,12:42,2.22,2.22
2010-05-28,18:18,-1.7,-1.7
2010-05-29,00:48,3.45,3.45
2010-05-29,07:24,-1.9,-1.9
2010-05-29,13:24,2.01,2.01
2010-05-29,19:12,-1.54,-1.54
2010-05-30,01:24,3.24,3.24
2010-05-30,07:48,-1.86,-1.86
2010-05-30,14:06,1.88,1.88
2010-05-30,19:36,-1.45,-1.45
2010-05-31,02:00,3.05,3.05
2010-05-31,08:42,-1.8,-1.8
2010-05-31,14:42,1.73,1.73
2010-05-31,20:30,-1.18,-1.18
2010-06-01,03:06,2.86,2.86
2010-06-01,09:30,-1.53,-1.53
2010-06-01,15:24,1.41,1.41
2010-06-01,21:12,-1.32,-1.32
2010-06-02,03:36,2.31,2.31
2010-06-02,10:06,-1.51,-1.51
2010-06-02,16:18,1.59,1.59
2010-06-02,22:00,-0.78,-0.78
2010-06-03,04:06,2.71,2.71
2010-06-03,10:54,-0.85,-0.85
2010-06-03,17:00,1.76,1.76
2010-06-03,23:06,-0.57,-0.57
2010-06-04,04:54,2.31,2.31
2010-06-04,11:42,-1.16,-1.16
2010-06-04,17:48,1.57,1.57
2010-06-04,23:42,-0.63,-0.63
2010-06-05,05:48,2.16,2.16
2010-06-05,12:24,-1,-1.0
2010-06-05,18:18,1.88,1.88
2010-06-06,00:42,-0.73,-0.73
2010-06-06,06:42,1.88,1.88
2010-06-06,13:06,-1.06,-1.06
2010-06-06,19:12,1.87,1.87
2010-06-07,01:36,-0.86,-0.86
2010-06-07,08:18,1.64,1.64
2010-06-07,13:18,-1.07,-1.07
2010-06-07,19:54,2.05,2.05
2010-06-08,02:48,-1.2,-1.2
2010-06-08,08:36,1.38,1.38
2010-06-08,14:36,-1.4,-1.4
2010-06-08,20:54,2.34,2.34
2010-06-09,03:24,-1.36,-1.36
2010-06-09,09:30,1.47,1.47
2010-06-09,15:36,-1.66,-1.66
2010-06-09,21:48,2.68,2.68
2010-06-10,04:48,-1.41,-1.41
2010-06-10,10:30,1.75,1.75
2010-06-10,16:06,-1.24,-1.24
2010-06-10,22:30,3.46,3.46
2010-06-11,05:06,-1.58,-1.58
2010-06-11,11:18,1.74,1.74
2010-06-11,16:42,-1.56,-1.56
2010-06-11,23:36,3.48,3.48
2010-06-12,05:54,-1.82,-1.82
2010-06-12,11:48,1.79,1.79
2010-06-12,17:48,-1.99,-1.99
2010-06-13,00:12,3.32,3.32
2010-06-13,06:42,-2.11,-2.11
2010-06-13,13:00,2.09,2.09
2010-06-13,18:30,-1.73,-1.73
2010-06-14,00:54,3.86,3.86
2010-06-14,07:54,-1.8,-1.8
2010-06-14,14:00,2.35,2.35
2010-06-14,19:12,-1.65,-1.65
2010-06-15,01:36,3.74,3.74
2010-06-15,08:18,-2.01,-2.01
2010-06-15,14:24,2.41,2.41
2010-06-15,20:24,-1.8,-1.8
2010-06-16,02:36,3.31,3.31
2010-06-16,09:36,-2.16,-2.16
2010-06-16,15:18,2.15,2.15
2010-06-16,21:18,-1.93,-1.93
2010-06-17,03:48,3.22,3.22
2010-06-17,10:30,-2.14,-2.14
2010-06-17,16:36,2.47,2.47
2010-06-17,22:06,-1.46,-1.46
2010-06-18,04:24,2.85,2.85
2010-06-18,11:12,-1.94,-1.94
2010-06-18,17:12,2.67,2.67
2010-06-18,23:18,-1.29,-1.29
2010-06-19,05:24,2.48,2.48
2010-06-19,11:54,-2.01,-2.01
2010-06-19,18:24,2.39,2.39
2010-06-20,00:36,-1.45,-1.45
2010-06-20,06:18,2.09,2.09
2010-06-20,12:48,-1.84,-1.84
2010-06-20,19:18,2.63,2.63
2010-06-21,01:48,-1.53,-1.53
2010-06-21,07:48,1.86,1.86
2010-06-21,13:42,-1.59,-1.59
2010-06-21,20:00,2.71,2.71
2010-06-22,02:42,-1.56,-1.56
2010-06-22,08:48,1.79,1.79
2010-06-22,14:48,-1.58,-1.58
2010-06-22,21:18,3.1,3.1
2010-06-23,04:06,-1.54,-1.54
2010-06-23,09:36,1.69,1.69
2010-06-23,15:24,-1.65,-1.65
2010-06-23,21:54,3.1,3.1
2010-06-24,04:36,-1.72,-1.72
2010-06-24,10:54,1.7,1.7
2010-06-24,16:18,-1.72,-1.72
2010-06-24,23:18,2.96,2.96
2010-06-25,05:30,-1.86,-1.86
2010-06-25,11:30,1.53,1.53
2010-06-25,17:18,-1.79,-1.79
2010-06-25,23:42,3.21,3.21
2010-06-26,06:06,-1.91,-1.91
2010-06-26,12:12,1.69,1.69
2010-06-26,17:54,-1.69,-1.69
2010-06-27,00:24,3.17,3.17
2010-06-27,06:54,-1.65,-1.65
2010-06-27,13:06,1.79,1.79
2010-06-27,18:36,-1.41,-1.41
2010-06-28,01:06,3.24,3.24
2010-06-28,07:48,-1.54,-1.54
2010-06-28,13:24,1.68,1.68
2010-06-28,19:18,-1.57,-1.57
2010-06-29,01:54,2.96,2.96
2010-06-29,08:06,-1.86,-1.86
2010-06-29,14:12,1.78,1.78
2010-06-29,19:54,-1.39,-1.39
2010-06-30,02:30,2.69,2.69
2010-06-30,09:06,-1.66,-1.66
2010-06-30,14:30,1.76,1.76
